"['n1', 'n2', 'L2', 'n3', 'L3', 'M3', 'n4', 'L4', 'M4']",lifetime_i
"[0, 0, 0, 3, 3, 0, 1, 1, 1]",0.02462601533536694
"[0, 0, 0, 3, 3, 0, 2, 0, 0]",0.023072217109007514
"[0, 0, 0, 3, 3, 0, 2, 2, 1]",0.022681114594859355
"[0, 0, 0, 3, 3, 0, 2, 2, 2]",0.02272984559567231
"[0, 0, 0, 3, 3, 0, 3, 1, 0]",0.08138150089555538
"[0, 0, 0, 3, 3, 0, 3, 1, 1]",0.1298019701248512
"[0, 0, 0, 3, 3, 0, 4, 0, 0]",0.18404404577346278
"[0, 0, 0, 3, 3, 0, 4, 2, 1]",0.17779776422679044
"[0, 0, 0, 3, 3, 0, 4, 2, 2]",0.18350261743840598
"[0, 0, 0, 3, 3, 0, 4, 4, 0]",0.27390835739237207
"[0, 0, 0, 3, 3, 0, 4, 4, 1]",0.2781806385005073
"[0, 0, 0, 3, 3, 0, 4, 4, 2]",0.19533203385576584
"[0, 0, 0, 3, 3, 1, 0, 0, 0]",0.02448417159774978
"[0, 0, 0, 3, 3, 1, 1, 1, 1]",0.023957679709155345
"[0, 0, 0, 3, 3, 1, 2, 0, 0]",0.0216491693614408
"[0, 0, 0, 3, 3, 1, 2, 2, 1]",0.022781426835993705
"[0, 0, 0, 3, 3, 1, 2, 2, 2]",0.021777141686300266
"[0, 0, 0, 3, 3, 1, 3, 1, 1]",0.15065137806967566
"[0, 0, 0, 3, 3, 1, 3, 3, 1]",0.14065614241499616
"[0, 0, 0, 3, 3, 1, 3, 3, 3]",0.1552495800413877
"[0, 0, 0, 3, 3, 1, 4, 2, 1]",0.4770530226830219
"[0, 0, 0, 3, 3, 1, 4, 2, 2]",0.4755652781057876
"[0, 0, 0, 3, 3, 1, 4, 4, 1]",0.35638374340657847
"[0, 0, 0, 3, 3, 1, 4, 4, 3]",0.4324203336389192
"[0, 0, 0, 3, 3, 3, 0, 0, 0]",0.02253304117876919
"[0, 0, 0, 3, 3, 3, 1, 1, 1]",0.024094292314584424
"[0, 0, 0, 3, 3, 3, 2, 0, 0]",0.02353660418273507
"[0, 0, 0, 3, 3, 3, 2, 2, 1]",0.023602444099652783
"[0, 0, 0, 3, 3, 3, 2, 2, 2]",0.0238468732803316
"[0, 0, 0, 3, 3, 3, 3, 1, 0]",0.09891855294942926
"[0, 0, 0, 3, 3, 3, 3, 1, 1]",0.09222310955756337
"[0, 0, 0, 3, 3, 3, 3, 3, 1]",0.09522743099199034
"[0, 0, 0, 3, 3, 3, 3, 3, 3]",0.10224417461027654
"[0, 0, 0, 3, 3, 3, 4, 0, 0]",0.3582373968306509
