"['State', 'v', 'Lambda', 'Sigma', 'Omega']",lifetime_i
"['A4Pi', 33, -1.0, -1.5, -2.5]",0.0013423318299361866
"['A4Pi', 33, -1.0, -0.5, -1.5]",0.0012304920666155483
"['A4Pi', 33, -1.0, 0.5, -0.5]",0.0010124572563006446
"['A4Pi', 33, -1.0, 1.5, 0.5]",0.0011789995485035158
"['A4Pi', 33, 1.0, -1.5, -0.5]",0.0008894235088099607
"['A4Pi', 33, 1.0, -0.5, 0.5]",0.0013037492698611684
"['A4Pi', 33, 1.0, 0.5, 1.5]",0.0012953567092591218
"['A4Pi', 33, 1.0, 1.5, 2.5]",0.001335197569082183
"['A4Pi', 34, -1.0, -1.5, -2.5]",0.004987613121495693
"['A4Pi', 34, -1.0, -0.5, -1.5]",0.004280159698557379
"['A4Pi', 34, -1.0, 0.5, -0.5]",0.00277272915003995
"['A4Pi', 34, -1.0, 1.5, 0.5]",0.0035909432715793797
"['A4Pi', 34, 1.0, -1.5, -0.5]",0.002191787392182282
"['A4Pi', 34, 1.0, -0.5, 0.5]",0.004603124015264287
"['A4Pi', 34, 1.0, 0.5, 1.5]",0.004750871041431085
"['A4Pi', 34, 1.0, 1.5, 2.5]",0.005001252970921309
"['A4Pi', 35, -1.0, -1.5, -2.5]",0.02223117893874556
"['A4Pi', 35, -1.0, -0.5, -1.5]",0.004612468781056534
"['A4Pi', 35, -1.0, 0.5, -0.5]",0.0032577766934485186
"['A4Pi', 35, -1.0, 1.5, 0.5]",0.006345778158303489
"['A4Pi', 35, 1.0, -1.5, -0.5]",0.002725756522773513
"['A4Pi', 35, 1.0, -0.5, 0.5]",0.011094425785274954
"['A4Pi', 35, 1.0, 0.5, 1.5]",0.004992195844109334
"['A4Pi', 35, 1.0, 1.5, 2.5]",0.022639630437989618
"['A4Pi', 36, -1.0, -1.5, -2.5]",0.062050725815827525
"['A4Pi', 36, -1.0, -0.5, -1.5]",0.013090448599795152
"['A4Pi', 36, -1.0, 0.5, -0.5]",0.002246774772600833
"['A4Pi', 36, -1.0, 1.5, 0.5]",0.0018832998296699464
"['A4Pi', 36, 1.0, -1.5, -0.5]",0.001313034411561139
"['A4Pi', 36, 1.0, -0.5, 0.5]",0.021190029567603918
"['A4Pi', 36, 1.0, 0.5, 1.5]",0.030843185387736657
"['A4Pi', 36, 1.0, 1.5, 2.5]",0.06618542520143335
"['A4Pi', 37, -1.0, -1.5, -2.5]",0.07435702494593054
"['A4Pi', 37, -1.0, -0.5, -1.5]",0.003367312391610936
"['A4Pi', 37, -1.0, 0.5, -0.5]",0.00033942008685381716
"['A4Pi', 37, -1.0, 1.5, 0.5]",0.00010418594988806133
"['A4Pi', 37, 1.0, -1.5, -0.5]",0.0001853635103326888
"['A4Pi', 37, 1.0, -0.5, 0.5]",0.002955564780359786
"['A4Pi', 37, 1.0, 0.5, 1.5]",0.004312477988996187
"['A4Pi', 37, 1.0, 1.5, 2.5]",0.0901895084722092
"['A4Pi', 38, -1.0, -1.5, -2.5]",0.006687881995637855
"['A4Pi', 38, -1.0, -0.5, -1.5]",6.880680374179425e-05
"['A4Pi', 38, -1.0, 0.5, -0.5]",5.805063129335211e-05
"['A4Pi', 38, -1.0, 1.5, 0.5]",9.936714284233448e-05
"['A4Pi', 38, 1.0, -1.5, -0.5]",7.440615070650486e-05
"['A4Pi', 38, 1.0, -0.5, 0.5]",0.0010252509313308322
"['A4Pi', 38, 1.0, 0.5, 1.5]",0.0013715572730167724
"['A4Pi', 38, 1.0, 1.5, 2.5]",0.007424592216409164
"['A4Pi', 39, -1.0, -1.5, -2.5]",0.040467976778534205
"['A4Pi', 39, -1.0, -0.5, -1.5]",0.0012719769293613491
"['A4Pi', 39, -1.0, 0.5, -0.5]",1.1574098343097003e-05
"['A4Pi', 39, -1.0, 1.5, 0.5]",0.00010878967083735706
"['A4Pi', 39, 1.0, -1.5, -0.5]",1.0536379930176743e-05
"['A4Pi', 39, 1.0, -0.5, 0.5]",0.004033427913637238
"['A4Pi', 39, 1.0, 0.5, 1.5]",0.010355859441477294
"['A4Pi', 39, 1.0, 1.5, 2.5]",0.050934732134324326
"['A4Pi', 40, -1.0, -1.5, -2.5]",0.0736108075942142
"['A4Pi', 40, -1.0, -0.5, -1.5]",0.0007046625778437121
"['A4Pi', 40, -1.0, 0.5, -0.5]",2.5271350861124563e-05
"['A4Pi', 40, -1.0, 1.5, 0.5]",0.0016552663526567756
"['A4Pi', 40, 1.0, -1.5, -0.5]",0.00019256545346855235
"['A4Pi', 40, 1.0, -0.5, 0.5]",0.0018331992089332275
"['A4Pi', 40, 1.0, 1.5, 2.5]",0.18277445859113878
"['A4Pi', 41, -1.0, -1.5, -2.5]",0.03290424154555556
"['A4Pi', 41, -1.0, -0.5, -1.5]",0.007258317338276694
"['A4Pi', 41, -1.0, 0.5, -0.5]",0.004216191579067084
"['A4Pi', 41, -1.0, 1.5, 0.5]",0.00834587224710573
"['A4Pi', 41, 1.0, -1.5, -0.5]",0.0028572849556591866
"['A4Pi', 41, 1.0, -0.5, 0.5]",0.011808008476609403
"['A4Pi', 41, 1.0, 0.5, 1.5]",0.00019422395061409955
"['A4Pi', 41, 1.0, 1.5, 2.5]",0.0361648951915388
"['A4Pi', 42, -1.0, -1.5, -2.5]",0.3233134849635635
"['A4Pi', 42, -1.0, -0.5, -1.5]",0.026121990811132374
"['A4Pi', 42, -1.0, 0.5, -0.5]",0.003858564782818371
"['A4Pi', 42, -1.0, 1.5, 0.5]",0.033676783631288
"['A4Pi', 42, 1.0, -1.5, -0.5]",0.010043763769449559
"['A4Pi', 42, 1.0, -0.5, 0.5]",6.321538665460843e-05
"['A4Pi', 42, 1.0, 0.5, 1.5]",0.08409012924056451
"['A4Pi', 42, 1.0, 1.5, 2.5]",0.3041357996508536
"['A4Pi', 43, -1.0, -1.5, -2.5]",0.39394510953357276
"['A4Pi', 43, -1.0, -0.5, -1.5]",0.036578287825458744
"['A4Pi', 43, -1.0, 0.5, -0.5]",0.003559427378532194
"['A4Pi', 43, -1.0, 1.5, 0.5]",0.012151786880663226
"['A4Pi', 43, 1.0, -1.5, -0.5]",0.009005588945824199
"['A4Pi', 43, 1.0, -0.5, 0.5]",0.02156981658477338
"['A4Pi', 43, 1.0, 0.5, 1.5]",0.06546328649183197
"['A4Pi', 43, 1.0, 1.5, 2.5]",0.4073767133678773
"['A4Pi', 44, -1.0, -1.5, -2.5]",0.23937150980060848
"['A4Pi', 44, -1.0, -0.5, -1.5]",0.0009660783555737102
"['A4Pi', 44, -1.0, 0.5, -0.5]",0.005453724301332277
"['A4Pi', 44, -1.0, 1.5, 0.5]",0.09025942537858192
"['A4Pi', 44, 1.0, -1.5, -0.5]",0.00901823879096936
"['A4Pi', 44, 1.0, -0.5, 0.5]",0.011902164491815108
"['A4Pi', 44, 1.0, 0.5, 1.5]",0.008280832173064781
"['A4Pi', 44, 1.0, 1.5, 2.5]",0.26631104221770213
"['A4Pi', 45, -1.0, -1.5, -2.5]",0.04662786315500831
"['A4Pi', 45, -1.0, -0.5, -1.5]",0.057216076565818716
"['A4Pi', 45, -1.0, 0.5, -0.5]",0.02474241774423137
"['A4Pi', 45, -1.0, 1.5, 0.5]",0.04884232764670519
"['A4Pi', 45, 1.0, -1.5, -0.5]",0.018781558140081284
"['A4Pi', 45, 1.0, -0.5, 0.5]",0.09949558893079646
"['A4Pi', 45, 1.0, 0.5, 1.5]",0.06333027042285125
"['A4Pi', 45, 1.0, 1.5, 2.5]",0.0009766954890430902
"['A4Pi', 46, -1.0, -1.5, -2.5]",0.6140245425018146
"['A4Pi', 46, -1.0, -0.5, -1.5]",0.13840414281003297
"['A4Pi', 46, -1.0, 0.5, -0.5]",0.0175867192458504
"['A4Pi', 46, -1.0, 1.5, 0.5]",0.029813856725233744
"['A4Pi', 46, 1.0, -1.5, -0.5]",0.011787332348408319
"['A4Pi', 46, 1.0, -0.5, 0.5]",0.08603438145218766
"['A4Pi', 46, 1.0, 0.5, 1.5]",0.1744464330934126
"['A4Pi', 46, 1.0, 1.5, 2.5]",0.6995264096399022
"['A4Pi', 47, -1.0, -1.5, -2.5]",1.0205069794792583
"['A4Pi', 47, -1.0, -0.5, -1.5]",0.07989390365047264
