"['State', 'v', 'Lambda', 'Sigma', 'Omega']",lifetime_i
"['A4Pi', 47, -1.0, 0.5, -0.5]",0.006158527870006922
"['A4Pi', 47, -1.0, 1.5, 0.5]",0.0027396339761895008
"['A4Pi', 47, 1.0, -1.5, -0.5]",0.00362699350996243
"['A4Pi', 47, 1.0, -0.5, 0.5]",0.045646739448886045
"['A4Pi', 47, 1.0, 0.5, 1.5]",0.22468772765885228
"['A4Pi', 47, 1.0, 1.5, 2.5]",0.9185922910532185
"['A4Pi', 48, -1.0, -1.5, -2.5]",0.7833574160695339
"['A4Pi', 48, -1.0, -0.5, -1.5]",0.0185961791536755
"['A4Pi', 48, -1.0, 0.5, -0.5]",0.0006051869699641646
"['A4Pi', 48, -1.0, 1.5, 0.5]",0.0001948311412226303
"['A4Pi', 48, 1.0, -1.5, -0.5]",5.319886031754917e-05
"['A4Pi', 48, 1.0, -0.5, 0.5]",0.0062709790604400855
"['A4Pi', 48, 1.0, 0.5, 1.5]",0.12028516490778364
"['A4Pi', 48, 1.0, 1.5, 2.5]",0.8407110636554459
"['A4Pi', 49, -1.0, -1.5, -2.5]",0.2135647836062171
"['A4Pi', 49, -1.0, -0.5, -1.5]",0.00041083682746402306
"['A4Pi', 49, -1.0, 0.5, -0.5]",3.8333793235322486e-05
"['A4Pi', 49, -1.0, 1.5, 0.5]",0.0001955863987538034
"['A4Pi', 49, 1.0, -1.5, -0.5]",5.197626577489574e-06
"['A4Pi', 49, 1.0, -0.5, 0.5]",0.00017660251301061157
"['A4Pi', 49, 1.0, 0.5, 1.5]",0.015659783592135015
"['A4Pi', 49, 1.0, 1.5, 2.5]",0.4240531664256358
"['A4Pi', 50, -1.0, -1.5, -2.5]",0.0009480076592049778
"['A4Pi', 50, -1.0, -0.5, -1.5]",3.7341477120027514e-06
"['A4Pi', 50, -1.0, 1.5, 0.5]",0.001619162287516428
"['A4Pi', 50, 1.0, -1.5, -0.5]",0.00023425699131758066
"['A4Pi', 50, 1.0, -0.5, 0.5]",1.7075604846314833e-05
"['A4Pi', 50, 1.0, 0.5, 1.5]",0.00021113367982592
"['A4Pi', 50, 1.0, 1.5, 2.5]",0.07975042247622181
"['A4Pi', 51, -1.0, -1.5, -2.5]",1.2270641248648862e-05
"['A4Pi', 51, -1.0, -0.5, -1.5]",0.0011065113724506891
"['A4Pi', 51, -1.0, 0.5, -0.5]",0.0010724425947444157
"['A4Pi', 51, -1.0, 1.5, 0.5]",0.011881322581153682
"['A4Pi', 51, 1.0, -1.5, -0.5]",0.0017809635337513703
"['A4Pi', 51, 1.0, -0.5, 0.5]",0.0025919911751423647
"['A4Pi', 51, 1.0, 0.5, 1.5]",0.00044406111688432984
"['A4Pi', 51, 1.0, 1.5, 2.5]",3.0285772730675426e-05
"['A4Pi', 52, -1.0, -1.5, -2.5]",0.13540374013983983
"['A4Pi', 52, -1.0, -0.5, -1.5]",0.025176237548043042
"['A4Pi', 52, -1.0, 0.5, -0.5]",0.00544924184656221
"['A4Pi', 52, -1.0, 1.5, 0.5]",0.006807836236028414
"['A4Pi', 52, 1.0, -1.5, -0.5]",0.0049290124546444766
"['A4Pi', 52, 1.0, -0.5, 0.5]",0.02222145625971461
"['A4Pi', 52, 1.0, 0.5, 1.5]",0.05810112271032657
"['A4Pi', 52, 1.0, 1.5, 2.5]",0.05522592457821268
"['A4Pi', 53, -1.0, -1.5, -2.5]",0.8174181382753668
"['A4Pi', 53, -1.0, -0.5, -1.5]",0.13320671346378365
"['A4Pi', 53, -1.0, 0.5, -0.5]",0.010437292150817432
"['A4Pi', 53, -1.0, 1.5, 0.5]",0.00892103943989316
"['A4Pi', 53, 1.0, -1.5, -0.5]",0.00511274423046355
"['A4Pi', 53, 1.0, -0.5, 0.5]",0.09027993604782554
"['A4Pi', 53, 1.0, 0.5, 1.5]",0.23264297697207886
"['A4Pi', 53, 1.0, 1.5, 2.5]",0.7350642524827167
"['A4Pi', 54, -1.0, -1.5, -2.5]",0.8137924259057833
"['A4Pi', 54, -1.0, -0.5, -1.5]",0.05129128709907949
"['A4Pi', 54, -1.0, 0.5, -0.5]",0.008255058094849554
"['A4Pi', 54, -1.0, 1.5, 0.5]",0.00105364354092774
"['A4Pi', 54, 1.0, -1.5, -0.5]",0.0020385636288368573
"['A4Pi', 54, 1.0, -0.5, 0.5]",0.10354383026544436
"['A4Pi', 54, 1.0, 0.5, 1.5]",0.16553183821383347
"['A4Pi', 54, 1.0, 1.5, 2.5]",0.8200899920904118
"['A4Pi', 55, -1.0, -1.5, -2.5]",0.24126828802248543
"['A4Pi', 55, -1.0, -0.5, -1.5]",0.034691661383963734
"['A4Pi', 55, -1.0, 1.5, 0.5]",4.1875835389798395e-05
"['A4Pi', 55, 1.0, -1.5, -0.5]",0.0001896632125315719
"['A4Pi', 55, 1.0, -0.5, 0.5]",0.05459279920530596
"['A4Pi', 55, 1.0, 0.5, 1.5]",0.15627333613049718
"['A4Pi', 55, 1.0, 1.5, 2.5]",0.24351613038379732
"['A4Pi', 56, -1.0, -1.5, -2.5]",0.33281133679446345
"['A4Pi', 56, -1.0, -0.5, -1.5]",0.0022289103360887607
"['A4Pi', 56, -1.0, 0.5, -0.5]",3.2598277630028152e-06
"['A4Pi', 56, -1.0, 1.5, 0.5]",1.0834627768688405e-05
"['A4Pi', 56, 1.0, -1.5, -0.5]",1.4269523264331987e-05
"['A4Pi', 56, 1.0, -0.5, 0.5]",9.213943141866291e-05
"['A4Pi', 56, 1.0, 0.5, 1.5]",0.04761425492228446
"['A4Pi', 56, 1.0, 1.5, 2.5]",0.3722942966226313
"['A4Pi', 57, -1.0, -1.5, -2.5]",0.08954304045018412
"['A4Pi', 57, -1.0, -0.5, -1.5]",0.00010462118331778017
"['A4Pi', 57, -1.0, 0.5, -0.5]",9.05288148541281e-05
"['A4Pi', 57, -1.0, 1.5, 0.5]",0.00223153311067357
"['A4Pi', 57, 1.0, -1.5, -0.5]",0.000441577370198769
"['A4Pi', 57, 1.0, -0.5, 0.5]",0.0009470074356172414
"['A4Pi', 57, 1.0, 0.5, 1.5]",0.001305715433913125
"['A4Pi', 57, 1.0, 1.5, 2.5]",0.4634411843438113
"['A4Pi', 58, -1.0, -1.5, -2.5]",0.05525407594959238
"['A4Pi', 58, -1.0, -0.5, -1.5]",0.005793758177456388
"['A4Pi', 58, -1.0, 0.5, -0.5]",0.004758685554465389
"['A4Pi', 58, -1.0, 1.5, 0.5]",0.012132161988368109
"['A4Pi', 58, 1.0, -1.5, -0.5]",0.004067332417068835
"['A4Pi', 58, 1.0, -0.5, 0.5]",0.04080251525037824
"['A4Pi', 58, 1.0, 0.5, 1.5]",0.0032057584589133617
"['A4Pi', 58, 1.0, 1.5, 2.5]",0.2736911834547612
"['A4Pi', 59, -1.0, -1.5, -2.5]",0.011316329097163322
"['A4Pi', 59, -1.0, -0.5, -1.5]",0.007689673099599903
"['A4Pi', 59, -1.0, 0.5, -0.5]",0.003173759397858506
"['A4Pi', 59, -1.0, 1.5, 0.5]",0.005876036713106592
"['A4Pi', 59, 1.0, -1.5, -0.5]",0.0030358834009860335
"['A4Pi', 59, 1.0, -0.5, 0.5]",0.015029004057623979
"['A4Pi', 59, 1.0, 0.5, 1.5]",0.006722776740802822
"['A4Pi', 59, 1.0, 1.5, 2.5]",0.0009873581925556902
"['Ap4Phi', 0, -3.0, -1.5, -4.5]",28.958138961682288
"['Ap4Phi', 0, -3.0, -0.5, -3.5]",28.687146789383664
"['Ap4Phi', 0, -3.0, 0.5, -2.5]",28.002178993667762
"['Ap4Phi', 0, -3.0, 1.5, -1.5]",28.335121227899656
"['Ap4Phi', 0, 3.0, -1.5, 1.5]",28.335053615950457
"['Ap4Phi', 0, 3.0, -0.5, 2.5]",28.00216693544589
"['Ap4Phi', 0, 3.0, 0.5, 3.5]",28.687146700085346
"['Ap4Phi', 0, 3.0, 1.5, 4.5]",28.95813896338416
"['Ap4Phi', 1, -3.0, -1.5, -4.5]",0.0908249746290152
"['Ap4Phi', 1, -3.0, -0.5, -3.5]",0.0907648851039467
"['Ap4Phi', 1, -3.0, 0.5, -2.5]",0.09066480766324855
"['Ap4Phi', 1, -3.0, 1.5, -1.5]",0.0905192339192715
"['Ap4Phi', 1, 3.0, -1.5, 1.5]",0.09051923301870073
"['Ap4Phi', 1, 3.0, -0.5, 2.5]",0.090664807695539
"['Ap4Phi', 1, 3.0, 0.5, 3.5]",0.09076488510119407
"['Ap4Phi', 1, 3.0, 1.5, 4.5]",0.09082497462904028
"['Ap4Phi', 2, -3.0, -1.5, -4.5]",0.04531238757360474
"['Ap4Phi', 2, -3.0, -0.5, -3.5]",0.045283440997397506
"['Ap4Phi', 2, -3.0, 0.5, -2.5]",0.04522656911734069
"['Ap4Phi', 2, -3.0, 1.5, -1.5]",0.0451322570159561
"['Ap4Phi', 2, 3.0, -1.5, 1.5]",0.045132256621302505
"['Ap4Phi', 2, 3.0, -0.5, 2.5]",0.04522656913633264
"['Ap4Phi', 2, 3.0, 0.5, 3.5]",0.04528344099773254
"['Ap4Phi', 2, 3.0, 1.5, 4.5]",0.04531238757349681
"['Ap4Phi', 3, -3.0, -1.5, -4.5]",0.03013061135054709
"['Ap4Phi', 3, -3.0, -0.5, -3.5]",0.030110792658198212
"['Ap4Phi', 3, -3.0, 0.5, -2.5]",0.03003015358400751
"['Ap4Phi', 3, -3.0, 1.5, -1.5]",0.030057747185197683
"['Ap4Phi', 3, 3.0, -1.5, 1.5]",0.03005771231098007
"['Ap4Phi', 3, 3.0, -0.5, 2.5]",0.030030153585698886
"['Ap4Phi', 3, 3.0, 0.5, 3.5]",0.03011079266048846
"['Ap4Phi', 3, 3.0, 1.5, 4.5]",0.030130611339318297
"['Ap4Phi', 4, -3.0, -1.5, -4.5]",0.022548431001879473
"['Ap4Phi', 4, -3.0, -0.5, -3.5]",0.0225303067926117
"['Ap4Phi', 4, -3.0, 0.5, -2.5]",0.022483667899119302
"['Ap4Phi', 4, -3.0, 1.5, -1.5]",0.01971852654317114
"['Ap4Phi', 4, 3.0, -1.5, 1.5]",0.01971852173144034
"['Ap4Phi', 4, 3.0, -0.5, 2.5]",0.022483667893748963
"['Ap4Phi', 4, 3.0, 0.5, 3.5]",0.022530306726868704
"['Ap4Phi', 4, 3.0, 1.5, 4.5]",0.022548431313862766
"['Ap4Phi', 5, -3.0, -1.5, -4.5]",0.01800902101871654
"['Ap4Phi', 5, -3.0, -0.5, -3.5]",0.017997003531247814
"['Ap4Phi', 5, -3.0, 0.5, -2.5]",0.017964215700864
"['Ap4Phi', 5, -3.0, 1.5, -1.5]",0.017776076731359156
"['Ap4Phi', 5, 3.0, -1.5, 1.5]",0.017776074981379193
"['Ap4Phi', 5, 3.0, -0.5, 2.5]",0.017964215612585162
"['Ap4Phi', 5, 3.0, 0.5, 3.5]",0.017997003519442976
"['Ap4Phi', 5, 3.0, 1.5, 4.5]",0.01800858282387264
"['Ap4Phi', 6, -3.0, -1.5, -4.5]",0.014953133253604506
"['Ap4Phi', 6, -3.0, -0.5, -3.5]",0.014981430261757005
"['Ap4Phi', 6, -3.0, 0.5, -2.5]",0.01459487771750002
"['Ap4Phi', 6, -3.0, 1.5, -1.5]",0.01480137847899994
"['Ap4Phi', 6, 3.0, -1.5, 1.5]",0.01487389496386691
"['Ap4Phi', 6, 3.0, -0.5, 2.5]",0.014589064404946952
"['Ap4Phi', 6, 3.0, 0.5, 3.5]",0.014981430254876764
"['Ap4Phi', 6, 3.0, 1.5, 4.5]",0.01495368781316799
"['Ap4Phi', 7, -3.0, -1.5, -4.5]",0.012844041683107927
"['Ap4Phi', 7, -3.0, -0.5, -3.5]",0.012835036563672518
"['Ap4Phi', 7, -3.0, 0.5, -2.5]",0.012815538555642346
"['Ap4Phi', 7, -3.0, 1.5, -1.5]",0.012779141971631163
"['Ap4Phi', 7, 3.0, -1.5, 1.5]",0.012779168784270488
"['Ap4Phi', 7, 3.0, -0.5, 2.5]",0.012815543277062472
"['Ap4Phi', 7, 3.0, 0.5, 3.5]",0.012835036562927934
"['Ap4Phi', 7, 3.0, 1.5, 4.5]",0.012844042342535542
"['Ap4Phi', 8, -3.0, -1.5, -4.5]",0.011239783243248388
"['Ap4Phi', 8, -3.0, -0.5, -3.5]",0.011229750764363106
"['Ap4Phi', 8, -3.0, 0.5, -2.5]",0.011216980989201455
"['Ap4Phi', 8, -3.0, 1.5, -1.5]",0.011205008623764967
"['Ap4Phi', 8, 3.0, -1.5, 1.5]",0.011205015719348335
"['Ap4Phi', 8, 3.0, -0.5, 2.5]",0.011216917045910399
"['Ap4Phi', 8, 3.0, 0.5, 3.5]",0.011229845314738859
"['Ap4Phi', 8, 3.0, 1.5, 4.5]",0.011239783611033442
"['Ap4Phi', 9, -3.0, -1.5, -4.5]",0.009997950986631083
"['Ap4Phi', 9, -3.0, -0.5, -3.5]",0.009959187216781823
"['Ap4Phi', 9, -3.0, 0.5, -2.5]",0.009967607148660707
"['Ap4Phi', 9, -3.0, 1.5, -1.5]",0.009981245909926268
"['Ap4Phi', 9, 3.0, -1.5, 1.5]",0.00998124852582813
"['Ap4Phi', 9, 3.0, -0.5, 2.5]",0.009967670570920243
"['Ap4Phi', 9, 3.0, 0.5, 3.5]",0.009964255097438845
"['Ap4Phi', 9, 3.0, 1.5, 4.5]",0.009997951042836038
"['Ap4Phi', 10, -3.0, -1.5, -4.5]",0.009009533517760474
"['Ap4Phi', 10, -3.0, -0.5, -3.5]",0.008991257132219876
"['Ap4Phi', 10, -3.0, 0.5, -2.5]",0.0089890880484795
"['Ap4Phi', 10, -3.0, 1.5, -1.5]",0.009003625141157644
"['Ap4Phi', 10, 3.0, -1.5, 1.5]",0.009003626493441906
"['Ap4Phi', 10, 3.0, -0.5, 2.5]",0.00898909467295974
"['Ap4Phi', 10, 3.0, 0.5, 3.5]",0.008990503521781788
"['Ap4Phi', 10, 3.0, 1.5, 4.5]",0.009009533522978353
"['Ap4Phi', 11, -3.0, -1.5, -4.5]",0.008205487380000057
"['Ap4Phi', 11, -3.0, -0.5, -3.5]",0.00819042530212585
"['Ap4Phi', 11, -3.0, 0.5, -2.5]",0.008172291833089176
"['Ap4Phi', 11, -3.0, 1.5, -1.5]",0.008205082560446273
"['Ap4Phi', 11, 3.0, -1.5, 1.5]",0.008205083327651371
"['Ap4Phi', 11, 3.0, -0.5, 2.5]",0.008172707634372445
"['Ap4Phi', 11, 3.0, 0.5, 3.5]",0.008161960172234606
"['Ap4Phi', 11, 3.0, 1.5, 4.5]",0.008205487379907395
"['Ap4Phi', 12, -3.0, -1.5, -4.5]",0.007539578842811072
"['Ap4Phi', 12, -3.0, -0.5, -3.5]",0.007449885679775415
"['Ap4Phi', 12, -3.0, 0.5, -2.5]",0.007419803042844924
"['Ap4Phi', 12, -3.0, 1.5, -1.5]",0.007543227612266717
"['Ap4Phi', 12, 3.0, -1.5, 1.5]",0.007543227691305694
"['Ap4Phi', 12, 3.0, -0.5, 2.5]",0.007419776665592232
"['Ap4Phi', 12, 3.0, 0.5, 3.5]",0.007388324088125619
"['Ap4Phi', 12, 3.0, 1.5, 4.5]",0.00753957884224177
"['Ap4Phi', 13, -3.0, -1.5, -4.5]",0.006980065018644441
"['Ap4Phi', 13, -3.0, -0.5, -3.5]",0.006960749450759356
"['Ap4Phi', 13, -3.0, 0.5, -2.5]",0.005012615030516413
"['Ap4Phi', 13, -3.0, 1.5, -1.5]",0.006983848075320338
"['Ap4Phi', 13, 3.0, -1.5, 1.5]",0.006983846786380717
"['Ap4Phi', 13, 3.0, -0.5, 2.5]",0.005124907748544902
"['Ap4Phi', 13, 3.0, 0.5, 3.5]",0.006960788273525456
"['Ap4Phi', 13, 3.0, 1.5, 4.5]",0.006980065019133316
"['Ap4Phi', 14, -3.0, -1.5, -4.5]",0.006505322156705353
"['Ap4Phi', 14, -3.0, -0.5, -3.5]",0.006494304583013729
"['Ap4Phi', 14, -3.0, 0.5, -2.5]",0.006425996125247723
"['Ap4Phi', 14, -3.0, 1.5, -1.5]",0.006500802482401473
"['Ap4Phi', 14, 3.0, -1.5, 1.5]",0.00650078423916014
"['Ap4Phi', 14, 3.0, -0.5, 2.5]",0.006393827287134403
"['Ap4Phi', 14, 3.0, 0.5, 3.5]",0.006494298996679345
"['Ap4Phi', 14, 3.0, 1.5, 4.5]",0.006505322156263924
"['Ap4Phi', 15, -3.0, -1.5, -4.5]",0.011375289602003591
"['Ap4Phi', 15, -3.0, -0.5, -3.5]",0.005977320098223482
"['Ap4Phi', 15, -3.0, 0.5, -2.5]",0.005995047747630379
"['Ap4Phi', 15, -3.0, 1.5, -1.5]",0.005921697326435815
"['Ap4Phi', 15, 3.0, -1.5, 1.5]",0.00592184461716603
"['Ap4Phi', 15, 3.0, -0.5, 2.5]",0.006064793003880231
"['Ap4Phi', 15, 3.0, 0.5, 3.5]",0.005977515206900295
"['Ap4Phi', 15, 3.0, 1.5, 4.5]",0.011375289603360199
"['Ap4Phi', 16, -3.0, -1.5, -4.5]",0.03399494744454352
"['Ap4Phi', 16, -3.0, -0.5, -3.5]",0.01021419554792655
"['Ap4Phi', 16, -3.0, 0.5, -2.5]",0.009903438637429908
"['Ap4Phi', 16, -3.0, 1.5, -1.5]",0.010012093646047014
"['Ap4Phi', 16, 3.0, -1.5, 1.5]",0.010009655897669478
"['Ap4Phi', 16, 3.0, -0.5, 2.5]",0.00993630600817361
"['Ap4Phi', 16, 3.0, 0.5, 3.5]",0.010209521531372745
"['Ap4Phi', 16, 3.0, 1.5, 4.5]",0.033994947441800955
"['Ap4Phi', 17, -3.0, -1.5, -4.5]",0.054144730572247765
"['Ap4Phi', 17, -3.0, -0.5, -3.5]",0.02890385917106482
"['Ap4Phi', 17, -3.0, 0.5, -2.5]",0.02874149798173273
"['Ap4Phi', 17, -3.0, 1.5, -1.5]",0.02895165388372971
"['Ap4Phi', 17, 3.0, -1.5, 1.5]",0.028959963628803893
"['Ap4Phi', 17, 3.0, -0.5, 2.5]",0.028741009999459135
"['Ap4Phi', 17, 3.0, 0.5, 3.5]",0.02890386774918131
"['Ap4Phi', 17, 3.0, 1.5, 4.5]",0.05415608913735698
"['Ap4Phi', 18, -3.0, -1.5, -4.5]",0.533197003362161
"['Ap4Phi', 18, -3.0, -0.5, -3.5]",0.1022525099224821
"['Ap4Phi', 18, -3.0, 0.5, -2.5]",0.1010075257492564
"['Ap4Phi', 18, -3.0, 1.5, -1.5]",0.10050702846767305
"['Ap4Phi', 18, 3.0, -1.5, 1.5]",0.021515254354772632
"['Ap4Phi', 18, 3.0, -0.5, 2.5]",0.10100772906082055
"['Ap4Phi', 18, 3.0, 0.5, 3.5]",0.10225248905215802
"['Ap4Phi', 18, 3.0, 1.5, 4.5]",0.5331968809396622
"['Ap4Phi', 19, -3.0, -1.5, -4.5]",2.372275508378139
"['Ap4Phi', 19, -3.0, -0.5, -3.5]",0.4054043198558797
"['Ap4Phi', 19, -3.0, 0.5, -2.5]",0.38963667885122805
"['Ap4Phi', 19, -3.0, 1.5, -1.5]",0.3591909691061944
"['Ap4Phi', 19, 3.0, -1.5, 1.5]",0.33252159479031984
"['Ap4Phi', 19, 3.0, -0.5, 2.5]",0.38963552335050405
"['Ap4Phi', 19, 3.0, 0.5, 3.5]",0.40541512071753294
"['Ap4Phi', 19, 3.0, 1.5, 4.5]",2.372275508992526
"['Ap4Phi', 20, -3.0, -1.5, -4.5]",10.869537699256291
"['Ap4Phi', 20, -3.0, -0.5, -3.5]",1.7056674743394244
"['Ap4Phi', 20, -3.0, 0.5, -2.5]",1.4185319240661205
"['Ap4Phi', 20, -3.0, 1.5, -1.5]",0.26910144196931973
"['Ap4Phi', 20, 3.0, -1.5, 1.5]",0.05743420464452363
"['Ap4Phi', 20, 3.0, -0.5, 2.5]",1.4190709803241797
"['Ap4Phi', 20, 3.0, 0.5, 3.5]",1.7056635083667586
"['Ap4Phi', 20, 3.0, 1.5, 4.5]",10.869537572803369
"['Ap4Phi', 21, -3.0, -1.5, -4.5]",50.08350140870222
"['Ap4Phi', 21, -3.0, -0.5, -3.5]",7.3991736672748685
"['Ap4Phi', 21, -3.0, 0.5, -2.5]",2.40316150799215
"['Ap4Phi', 21, -3.0, 1.5, -1.5]",1.02373960692969
"['Ap4Phi', 21, 3.0, -1.5, 1.5]",2.208015921242937
"['Ap4Phi', 21, 3.0, -0.5, 2.5]",5.033160168856683
"['Ap4Phi', 21, 3.0, 0.5, 3.5]",7.399170704205482
"['Ap4Phi', 21, 3.0, 1.5, 4.5]",50.07815233298411
"['Ap4Phi', 22, -3.0, -1.5, -4.5]",232.58988507109214
"['Ap4Phi', 22, -3.0, -0.5, -3.5]",30.960883837327476
"['Ap4Phi', 22, -3.0, 0.5, -2.5]",4.14586394168725
"['Ap4Phi', 22, -3.0, 1.5, -1.5]",0.4459537901656253
"['Ap4Phi', 22, 3.0, -1.5, 1.5]",0.007976548506334937
"['Ap4Phi', 22, 3.0, -0.5, 2.5]",2.351271903963969
"['Ap4Phi', 22, 3.0, 0.5, 3.5]",30.960901790797408
"['Ap4Phi', 22, 3.0, 1.5, 4.5]",232.59012320002813
"['Ap4Phi', 23, -3.0, -1.5, -4.5]",1051.996927528011
"['Ap4Phi', 23, -3.0, -0.5, -3.5]",131.12149347326502
"['Ap4Phi', 23, -3.0, 0.5, -2.5]",0.5511322993940593
"['Ap4Phi', 23, -3.0, 1.5, -1.5]",1.4887605760890403
"['Ap4Phi', 23, 3.0, -1.5, 1.5]",1.4902315562820732
"['Ap4Phi', 23, 3.0, -0.5, 2.5]",0.9047725571714426
"['Ap4Phi', 23, 3.0, 0.5, 3.5]",131.1231303357801
"['Ap4Phi', 23, 3.0, 1.5, 4.5]",1051.9974413982013
"['Ap4Phi', 24, -3.0, -1.5, -4.5]",4316.056369336546
"['Ap4Phi', 24, -3.0, -0.5, -3.5]",402.3146237724468
"['Ap4Phi', 24, -3.0, 0.5, -2.5]",0.09362464391409266
"['Ap4Phi', 24, -3.0, 1.5, -1.5]",0.6250516313590422
"['Ap4Phi', 24, 3.0, -1.5, 1.5]",0.6278842150357811
"['Ap4Phi', 24, 3.0, -0.5, 2.5]",0.08375588528454428
"['Ap4Phi', 24, 3.0, 0.5, 3.5]",402.44173528859983
"['Ap4Phi', 24, 3.0, 1.5, 4.5]",4316.13909157357
"['Ap4Phi', 25, -3.0, -1.5, -4.5]",10216.870415782585
"['Ap4Phi', 25, -3.0, -0.5, -3.5]",335.5475957353612
"['Ap4Phi', 25, -3.0, 0.5, -2.5]",2.6978320031593803
"['Ap4Phi', 25, -3.0, 1.5, -1.5]",1.2119497757387336
"['Ap4Phi', 25, 3.0, -1.5, 1.5]",1.2127139271438478
"['Ap4Phi', 25, 3.0, -0.5, 2.5]",2.6835561783462087
"['Ap4Phi', 25, 3.0, 0.5, 3.5]",336.86436124033645
"['Ap4Phi', 25, 3.0, 1.5, 4.5]",11002.315456097378
"['Ap4Phi', 26, -3.0, -1.5, -4.5]",12186.887592403507
"['Ap4Phi', 26, -3.0, -0.5, -3.5]",4.622218772646335
"['Ap4Phi', 26, -3.0, 0.5, -2.5]",6.119876707383008
"['Ap4Phi', 26, -3.0, 1.5, -1.5]",0.3694937559020422
"['Ap4Phi', 26, 3.0, -1.5, 1.5]",0.36952209760350846
"['Ap4Phi', 26, 3.0, -0.5, 2.5]",6.114551584922
"['Ap4Phi', 26, 3.0, 0.5, 3.5]",4.935625119011939
"['Ap4Phi', 26, 3.0, 1.5, 4.5]",6633.095897640004
"['Ap4Phi', 27, -3.0, -1.5, -4.5]",5083.395661402537
"['Ap4Phi', 27, -3.0, -0.5, -3.5]",93.81714754079104
"['Ap4Phi', 27, -3.0, 0.5, -2.5]",7.319542520302878
"['Ap4Phi', 27, -3.0, 1.5, -1.5]",0.05936795952078037
"['Ap4Phi', 27, 3.0, -1.5, 1.5]",0.059368906066814386
"['Ap4Phi', 27, 3.0, -0.5, 2.5]",7.3179835437498975
"['Ap4Phi', 27, 3.0, 0.5, 3.5]",76.49098418832975
"['Ap4Phi', 27, 3.0, 1.5, 4.5]",5974.703423085463
"['Ap4Phi', 28, -3.0, -1.5, -4.5]",929.7244610406012
"['Ap4Phi', 28, -3.0, -0.5, -3.5]",115.26748052183241
"['Ap4Phi', 28, -3.0, 0.5, -2.5]",6.978488178678857
"['Ap4Phi', 28, -3.0, 1.5, -1.5]",0.4501536040806063
"['Ap4Phi', 28, 3.0, -1.5, 1.5]",0.4502168050027408
"['Ap4Phi', 28, 3.0, -0.5, 2.5]",6.977817932231753
"['Ap4Phi', 28, 3.0, 0.5, 3.5]",225.08467890252265
"['Ap4Phi', 28, 3.0, 1.5, 4.5]",837.7668604173981
"['Ap4Phi', 29, -3.0, -1.5, -4.5]",2307.10497655813
"['Ap4Phi', 29, -3.0, -0.5, -3.5]",568.7825125397708
"['Ap4Phi', 29, -3.0, 0.5, -2.5]",6.134110577905121
"['Ap4Phi', 29, -3.0, 1.5, -1.5]",0.002035656427187911
"['Ap4Phi', 29, 3.0, -1.5, 1.5]",0.0020188442871304727
"['Ap4Phi', 29, 3.0, -0.5, 2.5]",6.132466692313729
"['Ap4Phi', 29, 3.0, 0.5, 3.5]",2.1075847237343273
"['Ap4Phi', 29, 3.0, 1.5, 4.5]",2355.2188698245022
"['Ap4Phi', 30, -3.0, -1.5, -4.5]",0.003773097143034022
"['Ap4Phi', 30, -3.0, -0.5, -3.5]",848.1122157463254
"['Ap4Phi', 30, -3.0, 0.5, -2.5]",6.827899271346799
"['Ap4Phi', 30, -3.0, 1.5, -1.5]",0.770646382941863
"['Ap4Phi', 30, 3.0, -1.5, 1.5]",0.7708883138196703
"['Ap4Phi', 30, 3.0, -0.5, 2.5]",6.827909870938122
"['Ap4Phi', 30, 3.0, 0.5, 3.5]",841.7587056778301
"['Ap4Phi', 30, 3.0, 1.5, 4.5]",0.008413099913135524
"['Ap4Phi', 31, -3.0, -1.5, -4.5]",5576.69316604229
"['Ap4Phi', 31, -3.0, -0.5, -3.5]",1013.3860322079771
"['Ap4Phi', 31, -3.0, 0.5, -2.5]",6.5405222699711
"['Ap4Phi', 31, -3.0, 1.5, -1.5]",0.3756898728677626
"['Ap4Phi', 31, 3.0, -1.5, 1.5]",0.3754772313942442
"['Ap4Phi', 31, 3.0, -0.5, 2.5]",6.5437655184794
"['Ap4Phi', 31, 3.0, 0.5, 3.5]",1134.7532674904626
"['Ap4Phi', 31, 3.0, 1.5, 4.5]",5621.608217822668
"['Ap4Phi', 32, -3.0, -1.5, -4.5]",46387.66678085348
"['Ap4Phi', 32, -3.0, -0.5, -3.5]",1154.5843289658571
"['Ap4Phi', 32, -3.0, 0.5, -2.5]",8.182536124031804
"['Ap4Phi', 32, -3.0, 1.5, -1.5]",0.011066836961513869
"['Ap4Phi', 32, 3.0, -1.5, 1.5]",0.011012731006504399
"['Ap4Phi', 32, 3.0, -0.5, 2.5]",8.18250567584016
"['Ap4Phi', 32, 3.0, 0.5, 3.5]",959.4536182500229
"['Ap4Phi', 32, 3.0, 1.5, 4.5]",50546.220586837255
"['Ap4Phi', 33, -3.0, -1.5, -4.5]",232476.8292769765
"['Ap4Phi', 33, -3.0, -0.5, -3.5]",1893.3717126494266
"['Ap4Phi', 33, -3.0, 0.5, -2.5]",7.005080300945895
"['Ap4Phi', 33, -3.0, 1.5, -1.5]",0.25096602538672824
"['Ap4Phi', 33, 3.0, -1.5, 1.5]",0.25129216239336377
"['Ap4Phi', 33, 3.0, -0.5, 2.5]",7.005115850895437
"['Ap4Phi', 33, 3.0, 0.5, 3.5]",2071.455818421595
"['Ap4Phi', 33, 3.0, 1.5, 4.5]",146189.50337040657
"['Ap4Phi', 34, -3.0, -1.5, -4.5]",1227182.0451926673
