v_state,lifetime_i
"[0, 7, 3, 3]",0.020321477185694697
"[0, 7, 3, 4]",0.016090696832606773
"[0, 7, 3, 5]",0.013449111413763102
"[0, 7, 3, 6]",0.011655292460298084
"[0, 7, 3, 7]",0.010360464776734225
"[0, 7, 3, 8]",0.009387236190846967
"[0, 7, 3, 9]",0.010138686288305492
"[0, 7, 3, 10]",0.00827604962054023
"[0, 7, 3, 11]",0.06380596621553834
"[0, 7, 3, 12]",1.3020053561463052
"[0, 7, 3, 13]",500.472933859984
"[0, 7, 5, 0]",0.1825530019011973
"[0, 7, 5, 1]",0.047754838902961186
"[0, 7, 5, 2]",0.028145769048011728
"[0, 7, 5, 3]",0.020285886833144185
"[0, 7, 5, 4]",0.016066517346833977
"[0, 7, 5, 5]",0.013439449433707182
"[0, 7, 5, 6]",0.011647705149583461
"[0, 7, 5, 7]",0.010356615155952452
"[0, 7, 5, 8]",0.00938502689995795
"[0, 7, 5, 9]",0.01013310552784461
"[0, 7, 5, 10]",0.008282772969295672
"[0, 7, 5, 11]",0.06950454196365928
"[0, 7, 5, 12]",1.2989710789894346
"[0, 7, 5, 13]",510.2511476466673
"[0, 7, 7, 0]",0.17517923447098147
"[0, 7, 7, 1]",0.04730007555211303
"[0, 7, 7, 2]",0.028001920463311524
"[0, 7, 7, 3]",0.02022211338528871
"[0, 7, 7, 4]",0.01603029772694754
"[0, 7, 7, 5]",0.013419445997019839
"[0, 7, 7, 6]",0.011634998252150218
"[0, 7, 7, 7]",0.010348965777224904
"[0, 7, 7, 8]",0.009380730000737547
"[0, 7, 7, 9]",0.010123657190836417
"[0, 7, 7, 10]",0.008292936906700013
"[0, 7, 7, 11]",0.07121440266695518
"[0, 7, 7, 12]",1.295748223822187
"[0, 7, 7, 13]",519.272405377334
"[0, 8, 0, 0]",0.1668451721854888
"[0, 8, 0, 2]",0.028164131863268483
